hssd_id,category,scan_status,watertight,physics_proxy_policy,issue_reasons,error
0001fb06b075a743e6289236cf049df3ad5dfa9c,showerhead,complete,False,bbox_inertia,open_mesh,
000bbe302b53fd2904e7ae92e1516a18f29de02d,candlestick,complete,False,bbox_inertia,open_mesh,
0022fa6ee5a44330e765488919803155b1a9e88c,ashcan,complete,False,bbox_inertia,open_mesh,
00258bed0c6e87a14e33c3eebffc48c898135698,mantel clock,complete,False,bbox_inertia,open_mesh,
0030aabddff541fbd378e38ae2d8597aecbfc757,coffee table,complete,False,bbox_inertia,open_mesh,
0034b3becda06d5dbecdf52f1842e5069e126af2,pendant lamp,complete,False,weld_or_static,open_mesh,
00366b86401aa16b702c21de49fd59b75ab9c57b,sofa,complete,False,bbox_inertia,open_mesh,
00386b5179df69aec660a71fb9c65b344857d016,vase,complete,False,bbox_inertia,open_mesh,
0039699ff96422d70b73397371664863025d75e8,wall art,complete,False,weld_or_static,open_mesh,
0040287f3af79d7b02985600e23469d319007792,place mat,complete,False,bbox_inertia,open_mesh,
0042224f50400c921142bc9777c28823dfc728ab,wall art,complete,False,weld_or_static,open_mesh,
004315b97305e4c6986491dfc1057ae72b91537e,dining table,complete,False,bbox_inertia,open_mesh|degenerate_faces,
00474f62f75a5047b51a4e6f7072a51d0d00afef,dining table,complete,False,bbox_inertia,open_mesh|center_of_mass_out_of_bounds|inertia_not_positive_definite,
004db3bd065eb72d8303f33c5bad163326cf1bd9,sculpture,complete,False,bbox_inertia,open_mesh|center_of_mass_out_of_bounds|inertia_not_positive_definite,
005b673d5ded782d54be17969159917dfc9ae0f2,swivel chair,complete,False,bbox_inertia,open_mesh,
00662bccdee49ca148d0c96929286db6d6d3c267,double bed,complete,False,bbox_inertia,open_mesh,
006ea4bce9bbe0c73d6d47776b25e76265235722,table,complete,False,bbox_inertia,open_mesh,
0070649630e7b2262ec0427c0e2035232240fb4d,swivel chair,complete,False,bbox_inertia,open_mesh,
0074b6bf5758fd7186157fd3a8d53afe3e200cba,tv stand,complete,False,bbox_inertia,open_mesh,
00770bbb6345e851e425d78c333c4baababf3729,wall art,complete,False,weld_or_static,open_mesh,
007ac3dc7a89e1e403c1340a4fd61fdc75ca053d,throw pillow,complete,False,bbox_inertia,open_mesh,
0082238889bd1b4ab20d0f9e3a444f5b61664e3a,toilet,complete,False,bbox_inertia,open_mesh,
00826491ee9361be3f199d05588c5dfae493f0cd,balcony,complete,False,bbox_inertia,open_mesh,
008cc6178827f98658c83a3b33124a0ca7ad3c26,bed,complete,False,bbox_inertia,open_mesh,
0091ed73925f43dda0dd03d8a71b88ccfa65fbb1,wall art,complete,False,weld_or_static,open_mesh,
0092599e2477209980084af7df385284843a3ff3,wall lamp,complete,False,weld_or_static,open_mesh,
0097dd7add1d9d8fdc58a446796dcde8c6f80238,ceiling fan,complete,False,weld_or_static,open_mesh,
009de394cd2d691583965e0235ff47ea2d8ebf5f,bunk bed,complete,False,bbox_inertia,open_mesh,
009f96f4bd369a2294a1b29538c52b14ec792a54,wall mirror,complete,False,weld_or_static,open_mesh,
