hssd_id,category,review_tier,access_sides,current_axis,current_confidence,current_front_view_image_index,current_validation_status,render_complete,render_dir
03ba174d13db7f909a79cb64d4319383c6fa99ee,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/03ba174d13db7f909a79cb64d4319383c6fa99ee
0435460643f982a6b247ee4cd009c9a56eb133cb,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/0435460643f982a6b247ee4cd009c9a56eb133cb
0486ae7dd0b011240a162dc0ff1d96e2cac23dca,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/0486ae7dd0b011240a162dc0ff1d96e2cac23dca
0546a524f6584d5beeaf8a72b3df494f9ceeec90,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/0546a524f6584d5beeaf8a72b3df494f9ceeec90
06764d11dcec69878cc762c36482be5ef2865443,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/06764d11dcec69878cc762c36482be5ef2865443
0760a3dd43bd9dd9c0ec1ea4e033c6e121d92df5,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/0760a3dd43bd9dd9c0ec1ea4e033c6e121d92df5
08045ba4de0a267910c938a065e0842159d3c0e6,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/08045ba4de0a267910c938a065e0842159d3c0e6
09a06a10e1fb974571bbf56cbf80598ca2dea07b,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/09a06a10e1fb974571bbf56cbf80598ca2dea07b
0c5661f4da12434fca0546701f1b00c22edd563f,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/0c5661f4da12434fca0546701f1b00c22edd563f
11f8b552a802c6233a1332713568f05f901b725c,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/11f8b552a802c6233a1332713568f05f901b725c
12001de4686bf2e4b9c721c93b35a424dd48249f,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/12001de4686bf2e4b9c721c93b35a424dd48249f
12279170351af560f40ced884359cc539984e111,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/12279170351af560f40ced884359cc539984e111
128b5f2d072869004b7a218ab674f93f73a66670,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/128b5f2d072869004b7a218ab674f93f73a66670
14b974e9ef733a0a753ea88b1633551271031a0d,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/14b974e9ef733a0a753ea88b1633551271031a0d
16b93d86d1a466f5982e60c8d322ddd8f312056e,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/16b93d86d1a466f5982e60c8d322ddd8f312056e
17a563b45ad4ccdd0ec9e026cacb949657536e48,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/17a563b45ad4ccdd0ec9e026cacb949657536e48
19bc84c6aca89995b69259a0ec179eaa5532ba2b,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/19bc84c6aca89995b69259a0ec179eaa5532ba2b
19d770d71094e9160fdcdfec57bed4683afcd1e4,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/19d770d71094e9160fdcdfec57bed4683afcd1e4
1a83f76b3e1e0d00521c4cc2c791e94ae7af4f5a,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/1a83f76b3e1e0d00521c4cc2c791e94ae7af4f5a
1ffa630662e8feac26e3f7f6c41f8afc66a81928,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/1ffa630662e8feac26e3f7f6c41f8afc66a81928
21558be8922692da15d54962cb7e5ab2c4fb6653,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/21558be8922692da15d54962cb7e5ab2c4fb6653
24f8284e4bdef4397e5b12dc4f2b74a137d63dbb,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/24f8284e4bdef4397e5b12dc4f2b74a137d63dbb
277958364721b09b0ac36c6ac1c4382f37e406c9,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/277958364721b09b0ac36c6ac1c4382f37e406c9
277a090638f90cdcd36bb8289cbb5aa153032fad,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/277a090638f90cdcd36bb8289cbb5aa153032fad
27eda9b8daae5b3b6748bc329fe7e312cbd9d232,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/27eda9b8daae5b3b6748bc329fe7e312cbd9d232
28555a5e8afd0f7833d23fb947b228461bd5baf1,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/28555a5e8afd0f7833d23fb947b228461bd5baf1
29a397a12d8afa897fc37a580a5b040632ae4303,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/29a397a12d8afa897fc37a580a5b040632ae4303
2c31adfeb4c1596fba2992437c4ce203633dce21,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/2c31adfeb4c1596fba2992437c4ce203633dce21
2e32ff526dbeb03092164450a309d084a99879cd,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/2e32ff526dbeb03092164450a309d084a99879cd
2f9d7000ad830a8f5cab7de9041a427447b6d6af,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/2f9d7000ad830a8f5cab7de9041a427447b6d6af
3033be75f2ac15885e8f4813dc55e168af09e91f,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/3033be75f2ac15885e8f4813dc55e168af09e91f
30ebb83f48ea03738e4530f17940775b8a251b03,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/30ebb83f48ea03738e4530f17940775b8a251b03
31f68105b89b6bc24eb8d5e238ed42ae382fc78f,armoire,high_priority_semantic_front,front,"[0.0,0.0,1.0]",0.2,,pending_asset_front_audit,True,/data/task3_2/share_data/scenesmith/hssd_rendered_assets/31f68105b89b6bc24eb8d5e238ed42ae382fc78f
